dtxsid,smiles
DTXSID0024971,ClC1=CC=C(C=O)C=C1Cl
DTXSID0024977,OC(=O)C1=CC=C(Cl)C=C1Cl
DTXSID0024979,OC(=O)C1=C(Cl)C=CC=C1Cl
DTXSID0025070,CC1=CC(C)(C)NC2=C1C=CC=C2
DTXSID0025072,OCC(=O)CO
DTXSID0025076,OC1=CC=C(C2=C1C(=O)C1=C(C2=O)C(=CC=C1O)[N+]([O-])=O)[N+]([O-])=O
DTXSID0025078,CC1=CC(=O)OC2=C1C(O)=CC(O)=C2
DTXSID0025074,OC(=O)C1=CC=C(O)C=C1O
DTXSID0025101,CN(C)C1=CC=CC(O)=C1
DTXSID0025234,[Na+].[Na+].[O-]C1=C(Br)C2=C(C=C1Br)C1(OC(=O)C3=C1C=CC=C3)C1=CC(Br)=C([O-])C(Br)=C1O2
DTXSID0025286,COCCOC
DTXSID0025315,CCN(CC1=CC=CC=C1)C1=CC=CC=C1
DTXSID0025361,CC(=C)C(=O)OCC1CO1
DTXSID0025363,OCC(O)=O
DTXSID0025367,NC1=NN=C(N)N1
DTXSID0025440,NCCCNCCCN
DTXSID0025492,CCCCCCCCCCCCCl
DTXSID0025494,CCCCCCCCCCCCOCC1CO1
DTXSID0025523,CC1=C(O)C(=O)C=CO1
DTXSID0025527,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C
DTXSID0025571,CC1=C(O)C=CC=C1O
DTXSID0025577,CC=C(C)C#N
DTXSID0025600,O.O.O.[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1
DTXSID0025604,CCOC(C)(C)C
DTXSID0025654,CC1=CC=C2C=CC3=CC=CC4=C3C2=C1C=C4
DTXSID0025733,NC(=O)C1=CC=CC=C1[N+]([O-])=O
DTXSID0025737,OC(=O)C1=CC=CC(=C1)[N+]([O-])=O
DTXSID0025812,CCCCCC1=CC(O)=CC(O)=C1
DTXSID0025789,[O-][N+](=O)C=CC1=CC=CC=C1
DTXSID0025814,OC(=O)C1=CC(O)=NC(O)=N1
DTXSID0025862,CCOC1=CC=CC(N)=C1
DTXSID0025818,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)CC1=CC=CC=C1)C(C)(C)CC1=CC=CC=C1
DTXSID0025864,CCOC1=CC=C(N)C=C1
DTXSID0025816,OC(=O)C(O)=O
DTXSID0025866,[O-]C(=O)\C=C/C([O-])=O.C[NH+](C)CCC(C1=CC=CC=C1)C1=CC=CC=[NH+]1
DTXSID0025991,OC1=CC=C(C=C1)N=O
DTXSID0025997,C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C\C=O
DTXSID0026040,Cl.CCCN(CCC)C(=O)CN
DTXSID0026044,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C
DTXSID0026098,[O-][N+](=O)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl
DTXSID0026125,CC(C)(C#N)C(C)(C)C#N
DTXSID0026171,"C*.N1N=NC2=CC=CC=C12 |c:2,6,t:4,8,lp:2:1,3:1,4:1,m:1:6.7|"
DTXSID0026173,CS(=O)(=O)OC[C@H](O)[C@@H](O)COS(C)(=O)=O
DTXSID0026175,C=CCN1C(=O)N(CC=C)C(=O)N(CC=C)C1=O
DTXSID0026202,[O-][N+](=O)C1=CC=C(Cl)C(Cl)=C1Cl
DTXSID0026204,[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1Cl
DTXSID0026208,OC1=CC(Cl)=CC(Cl)=C1Cl
DTXSID0026252,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1
DTXSID0026258,ClCCOP(OCCCl)OCCCl
DTXSID0026339,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(O)=C2C
DTXSID0026418,CC(C)(C)S
DTXSID0026547,NC1=CC2=C(C=C1)C=C(C=C2O)S(O)(=O)=O
DTXSID0026549,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
DTXSID0026676,[O-][N+](=O)C1=CC=C(OC2=CC=C(C=C2)[N+]([O-])=O)C=C1
DTXSID0026830,CC(C)(O)CCC(C)(C)O
DTXSID0026701,CC1=CC=C(C=C1)S(O)(=O)=O
DTXSID0026838,CCCCCCCCCCCCCC(=O)OC(C)C
DTXSID0026882,CCCCCCCC
DTXSID0026880,CC(=O)OCCOC(C)=O
DTXSID0026913,CCCCCCCCCCCC
DTXSID0026888,C1CC=CCCC=C1
DTXSID0026915,CCCCCCCCCCCO
DTXSID0026961,CC1=CC(=C(O)C=C1)[N+]([O-])=O
DTXSID0026967,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1
DTXSID0027014,CCCCCCC(C)O
DTXSID0027066,[Na+].CCCCCCCCCCCC(=O)N(C)CC([O-])=O
DTXSID0027143,FC(F)(F)C1=CC(=CC=C1)N=C=O
DTXSID0027149,OC(=O)CC#N
DTXSID0027195,CCCCCCCCCCCCCCCC
DTXSID0027191,C1C=CC=C1
DTXSID0027197,COC(=O)C(C)O
DTXSID0027222,CC(C)=C1CCC(C)=CC1
DTXSID0027228,C=CCCC#N
DTXSID0027270,CCCCCCCCCCCCCCCO
DTXSID0027301,NC1CCCCC1N
DTXSID0027309,CCOCCC(=O)OCC
DTXSID0027436,OP(O)C1=CC=CC=C1
DTXSID0027432,CN(C)CCC#N
DTXSID0027438,CCCCOP(=O)OCCCC
DTXSID0027482,CO[SiH](OC)OC
DTXSID0027486,COP(Cl)(=S)OC
DTXSID0027513,[Na+].[O-]S(=O)(=O)C=C
DTXSID0027515,C1C=CC2CC=CCC12
DTXSID0027561,COC(=O)CCSCCC(=O)OC
DTXSID0027567,CC(C)(CCl)C(Cl)=O
DTXSID0027565,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O
DTXSID0027640,OC(CC(O)=O)C(O)=O
DTXSID0027721,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1
DTXSID0027729,
DTXSID0027771,CCCCCCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1
DTXSID0027773,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
DTXSID0027802,CC(COC(=O)C1=CC=CC=C1)OC(=O)C1=CC=CC=C1
DTXSID0027806,[K+].[O-]C(=O)CNC1=CC=CC=C1
DTXSID0027804,CC(C)(N)C#N
DTXSID0027852,"CC1=CC=CC=C1.Cl* |c:3,5,t:1,lp:7:3,m:8:4.5.6|"
DTXSID0027856,"C*.C*.OCCOCCO |lp:4:2,7:2,10:2,m:1:5.6,3:8.9|"
DTXSID0027858,"CC(C)*.CC(C)C1=CC=CC=C1 |c:8,10,t:6,m:3:10.11.12|"
DTXSID0027933,"C*.C*.CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC |c:14,16,t:12,lp:11:2,13:2,21:2,22:2,m:1:23.24.25.26.27.28,3:10.9.8.7.6.5|"
DTXSID0027981,CC(C)(C)C1=NNC(=S)N(N)C1=O
