aeid,assay_name
739,OT_AR_ARELUC_AG_1440
740,OT_AR_ARSRC1_0480
741,OT_AR_ARSRC1_0960
742,OT_ER_ERaERa_0480
743,OT_ER_ERaERa_1440
744,OT_ER_ERaERb_0480
745,OT_ER_ERaERb_1440
746,OT_ER_ERbERb_0480
747,OT_ER_ERbERb_1440
750,OT_ERa_GFPERaERE_0120
751,OT_ERa_GFPERaERE_0480
753,OT_FXR_FXRSRC1_0480
754,OT_FXR_FXRSRC1_1440
755,OT_NURR1_NURR1RXRa_0480
756,OT_NURR1_NURR1RXRa_1440
757,OT_PPARg_PPARgSRC1_0480
758,OT_PPARg_PPARgSRC1_1440
759,TOX21_AR_BLA_Agonist_ch1
760,TOX21_AR_BLA_Agonist_ch2
761,TOX21_AR_BLA_Agonist_ratio
762,TOX21_AR_BLA_Antagonist_ratio
763,TOX21_AR_BLA_Antagonist_viability
764,TOX21_AR_LUC_MDAKB2_Agonist
765,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881
766,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability
767,TOX21_Aromatase_LUC_Antagonist
768,TOX21_Aromatase_LUC_Antagonist_viability
769,TOX21_AutoFluor_HEK293_Cell_blue
770,TOX21_AutoFluor_HEK293_Cell_green
771,TOX21_AutoFluor_HEK293_Cell_red
772,TOX21_AutoFluor_HEK293_Media_blue
773,TOX21_AutoFluor_HEK293_Media_green
774,TOX21_AutoFluor_HEK293_Media_red
775,TOX21_AutoFluor_HEPG2_Cell_blue
776,TOX21_AutoFluor_HEPG2_Cell_green
777,TOX21_AutoFluor_HEPG2_Cell_red
778,TOX21_AutoFluor_HEPG2_Media_blue
779,TOX21_AutoFluor_HEPG2_Media_green
780,TOX21_AutoFluor_HEPG2_Media_red
781,TOX21_ELG1_LUC_Agonist
782,TOX21_ELG1_LUC_Agonist_viability
783,TOX21_ERa_BLA_Agonist_ch1
784,TOX21_ERa_BLA_Agonist_ch2
785,TOX21_ERa_BLA_Agonist_ratio
786,TOX21_ERa_BLA_Antagonist_ratio
787,TOX21_ERa_BLA_Antagonist_viability
788,TOX21_ERa_LUC_VM7_Agonist
789,TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2
790,TOX21_ERa_LUC_VM7_Antagonist_0.5nM_E2_viability
791,TOX21_GR_BLA_Agonist_ch1
792,TOX21_GR_BLA_Agonist_ch2
793,TOX21_GR_BLA_Agonist_ratio
794,TOX21_GR_BLA_Antagonist_ratio
795,TOX21_GR_BLA_Antagonist_viability
796,TOX21_MMP_fitc
798,TOX21_MMP_rhodamine
799,TOX21_MMP_viability
800,TOX21_PPARg_BLA_Agonist_ch1
801,TOX21_PPARg_BLA_Agonist_ch2
802,TOX21_PPARg_BLA_Agonist_ratio
803,TOX21_TR_LUC_GH3_Agonist
804,TOX21_TR_LUC_GH3_Antagonist
805,TOX21_TR_LUC_GH3_Antagonist_viability
806,TOX21_AhR_LUC_Agonist
807,TOX21_AhR_LUC_Agonist_viability
891,CEETOX_H295R_11DCORT
893,CEETOX_H295R_OHPREG
895,CEETOX_H295R_OHPROG
897,CEETOX_H295R_ANDR
899,CEETOX_H295R_CORTIC
901,CEETOX_H295R_CORTISOL
905,CEETOX_H295R_DOC
